Start Goblin Turn;NULL;NULL;NULL;50:08.2;Start Goblin Turn;NULL;;Player Hurt;NULL;56:29.1;NULL;Player Hurt;NULL
Start Goblin Turn;NULL;NULL;NULL;50:08.9;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:29.1;NULL;Start Goblin Turn;NULL
Player Hurt;NULL;NULL;NULL;50:10.0;Player Hurt;NULL;;Start Goblin Turn;NULL;56:29.1;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:10.1;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:29.6;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:11.6;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:31.4;NULL;Start Goblin Turn;NULL
End Goblin Turn;NULL;NULL;NULL;50:12.1;End Goblin Turn;NULL;;Start Goblin Turn;NULL;56:32.1;NULL;Start Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;50:12.1;Start Player Turn;NULL;;End Goblin Turn;NULL;56:33.3;NULL;End Goblin Turn;NULL
MotorImagery;NULL;NULL;NULL;50:18.3;MotorImagery;NULL;;Start Player Turn;NULL;56:33.3;NULL;Start Player Turn;NULL
NULL;NULL;NULL;NULL;50:18.3;NULL;NULL;;Player Attacking;NULL;56:34.3;NULL;Player Attacking;NULL
RegenMana;NULL;NULL;NULL;50:18.3;RegenMana;NULL;;Goblin Death;NULL;56:35.2;NULL;Goblin Death;NULL
BciSuccess;NULL;TRUE;NULL;50:18.3;BciSuccess;TRUE;;Start Player Turn;NULL;56:36.2;NULL;Start Player Turn;NULL
Goblin Death;NULL;NULL;NULL;50:19.1;Goblin Death;NULL;;Player Moving;NULL;56:36.7;NULL;Player Moving;NULL
Start Goblin Turn;NULL;NULL;NULL;50:20.1;Start Goblin Turn;NULL;;End Player Turn;NULL;56:39.9;NULL;End Player Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:20.2;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:39.9;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:21.4;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:40.0;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:22.0;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:40.6;NULL;Start Goblin Turn;NULL
End Goblin Turn;NULL;NULL;NULL;50:22.6;End Goblin Turn;NULL;;Start Goblin Turn;NULL;56:40.9;NULL;Start Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;50:22.6;Start Player Turn;NULL;;Start Goblin Turn;NULL;56:42.4;NULL;Start Goblin Turn;NULL
MotorImagery;NULL;NULL;NULL;50:30.4;MotorImagery;NULL;;End Goblin Turn;NULL;56:42.8;NULL;End Goblin Turn;NULL
NULL;NULL;NULL;NULL;50:30.4;NULL;NULL;;Start Player Turn;NULL;56:42.9;NULL;Start Player Turn;NULL
RegenMana;NULL;NULL;NULL;50:30.4;RegenMana;NULL;;Player Moving;NULL;56:44.7;NULL;Player Moving;NULL
BciSuccess;NULL;TRUE;NULL;50:30.4;BciSuccess;TRUE;;End Player Turn;NULL;56:48.4;NULL;End Player Turn;NULL
Goblin Death;NULL;NULL;NULL;50:31.8;Goblin Death;NULL;;Start Goblin Turn;NULL;56:48.4;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:32.8;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:48.4;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:32.9;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:49.8;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:33.7;Start Goblin Turn;NULL;;Player Hurt;NULL;56:50.0;NULL;Player Hurt;NULL
End Goblin Turn;NULL;NULL;NULL;50:33.9;End Goblin Turn;NULL;;Start Goblin Turn;NULL;56:50.1;NULL;Start Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;50:33.9;Start Player Turn;NULL;;Start Goblin Turn;NULL;56:50.6;NULL;Start Goblin Turn;NULL
Player Moving;NULL;NULL;NULL;50:35.1;Player Moving;NULL;;End Goblin Turn;NULL;56:50.6;NULL;End Goblin Turn;NULL
End Player Turn;NULL;NULL;NULL;50:38.6;End Player Turn;NULL;;Start Player Turn;NULL;56:50.6;NULL;Start Player Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:38.6;Start Goblin Turn;NULL;;Player Attacking;NULL;56:52.3;NULL;Player Attacking;NULL
Start Goblin Turn;NULL;NULL;NULL;50:38.7;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:54.1;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:39.2;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:54.2;NULL;Start Goblin Turn;NULL
End Goblin Turn;NULL;NULL;NULL;50:40.7;End Goblin Turn;NULL;;Start Goblin Turn;NULL;56:55.1;NULL;Start Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;50:40.7;Start Player Turn;NULL;;Player Hurt;NULL;56:55.1;NULL;Player Hurt;NULL
Player Moving;NULL;NULL;NULL;50:41.5;Player Moving;NULL;;Start Goblin Turn;NULL;56:55.1;NULL;Start Goblin Turn;NULL
End Player Turn;NULL;NULL;NULL;50:45.1;End Player Turn;NULL;;Start Goblin Turn;NULL;56:55.3;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:45.1;Start Goblin Turn;NULL;;End Goblin Turn;NULL;56:55.4;NULL;End Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:45.2;Start Goblin Turn;NULL;;Start Player Turn;NULL;56:55.4;NULL;Start Player Turn;NULL
